date,close,volume,open,high,low,symbol
2024-03-05,59.52,12309960,59.91,60.11,59.42,KO
2024-03-04,59.81,10150240,59.23,59.95,59.22,KO
2024-03-01,59.53,10927560,59.9,59.9,59.34,KO
2024-02-29,60.02,18152650,60.35,60.64,59.9,KO
2024-02-28,60.4,8076536,60.37,60.49,60.06,KO
2024-02-27,60.34,9931088,60.54,60.78,60.12,KO
2024-02-26,60.71,10336100,61.24,61.27,60.66,KO
2024-02-23,61.2,13612910,61.09,61.62,61.0,KO
2024-02-22,61.15,12982800,60.99,61.25,60.5,KO
2024-02-21,61.24,14378260,60.99,61.28,60.83,KO
2024-02-20,60.7,18339320,59.595,60.84,59.51,KO
2024-02-16,59.39,13947060,59.35,59.62,58.955,KO
2024-02-15,59.4,13695850,59.42,59.59,59.13,KO
2024-02-14,59.29,15872450,59.17,59.59,59.035,KO
2024-02-13,59.35,24195710,59.5,60.655,58.79,KO
2024-02-12,59.7,13516780,59.66,59.76,58.96,KO
2024-02-09,59.56,15235250,59.47,59.58,59.03,KO
2024-02-08,59.83,12874760,59.89,59.97,59.41,KO
2024-02-07,59.99,10259890,60.07,60.21,59.94,KO
2024-02-06,59.94,12777150,59.96,60.05,59.68,KO
2024-02-05,60.04,12759570,60.38,60.38,59.88,KO
2024-02-02,60.54,17544910,60.82,60.87,60.23,KO
2024-02-01,60.98,15870880,59.57,61.005,59.36,KO
2024-01-31,59.49,22837000,60.1,60.45,59.29,KO
2024-01-30,59.9,22061540,59.85,60.02,59.445,KO
2024-01-29,59.73,14547070,59.34,59.79,59.17,KO
2024-01-26,59.37,13025070,59.25,59.49,59.125,KO
2024-01-25,59.16,14899710,59.01,59.17,58.66,KO
2024-01-24,58.91,16370480,59.8,59.81,58.89,KO
2024-01-23,59.85,14481640,59.53,60.0,59.46,KO
2024-01-22,59.57,14314270,59.755,60.065,59.44,KO
2024-01-19,59.83,14392600,60.26,60.28,59.64,KO
2024-01-18,60.16,10397680,59.69,60.23,59.525,KO
2024-01-17,59.99,8982132,59.86,60.21,59.82,KO
2024-01-16,59.99,11826910,60.39,60.43,59.85,KO
2024-01-12,60.39,13218010,60.08,60.46,59.87,KO
2024-01-11,59.81,13754230,60.25,60.26,59.69,KO
2024-01-10,60.2,12257980,60.22,60.41,59.98,KO
2024-01-09,60.0,10493650,59.99,60.135,59.62,KO
2024-01-08,60.11,11554630,59.68,60.18,59.42,KO
2024-01-05,59.67,10412800,59.8,59.95,59.0921,KO
2024-01-04,59.76,12912930,60.05,60.26,59.66,KO
2024-01-03,59.96,14830630,59.93,60.2,59.76,KO
2024-01-02,59.82,16322590,58.8,59.88,58.67,KO
2023-12-29,58.93,9244339,58.74,58.98,58.63,KO
2023-12-28,58.75,8400138,58.65,58.87,58.525,KO
2023-12-27,58.71,8560060,58.64,58.77,58.4,KO
2023-12-26,58.56,6422531,58.06,58.705,58.06,KO
2023-12-22,58.32,9029440,58.12,58.46,58.02,KO
2023-12-21,57.99,11725120,57.85,58.07,57.47,KO
2023-12-20,57.61,17701000,58.5,58.67,57.57,KO
2023-12-19,58.83,14612200,59.0,59.2,58.635,KO
2023-12-18,59.02,16717660,58.8,59.49,58.62,KO
2023-12-15,58.6,65177380,58.83,59.17,57.8,KO
2023-12-14,59.04,22478310,59.97,60.04,58.77,KO
2023-12-13,59.93,16196750,59.45,60.02,59.26,KO
